title,artist,link
Drawing of a Woman (12 NOV 1960),Barbara C. Mackie,https://collections.ed.ac.uk/art/record/20991?highlight=*:*
Red Abstract Landscape (1972),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/122748?highlight=*:*
The Sofa (1950),Iona Murray,https://collections.ed.ac.uk/art/record/122805?highlight=*:*
Untitled - Woman with Bun (1963),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/99401?highlight=*:*
Slaughter House (1959),Kirsty A Kirkwood,https://collections.ed.ac.uk/art/record/122887?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99449?highlight=*:*
Unknown (1962),Lesley M. Johns,https://collections.ed.ac.uk/art/record/50502?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,https://collections.ed.ac.uk/art/record/22680?highlight=*:*
Farmland (possibly),Donald Clark,https://collections.ed.ac.uk/art/record/21488?highlight=*:*
"St Mary's, Cilly Oct 27 1927 (27 OCT 1927)",Ben Nicholson,https://collections.ed.ac.uk/art/record/53471?highlight=*:*
Valley Landscape (Circa 1950),Marion M Cooper,https://collections.ed.ac.uk/art/record/21389?highlight=*:*
Mary Ann Park Sampler (1819),Mary Ann Park,https://collections.ed.ac.uk/art/record/102706?highlight=*:*
Untitled (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21562?highlight=*:*
The Strike (1953),Robert Marx,https://collections.ed.ac.uk/art/record/21691?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53576?highlight=*:*
Untitled (1946),Eileen Bennett,https://collections.ed.ac.uk/art/record/21733?highlight=*:*
Sitting Nude Woman (1952),Maureen Baird,https://collections.ed.ac.uk/art/record/122880?highlight=*:*
Ship in Dry Dock,Graham High,https://collections.ed.ac.uk/art/record/22532?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53654?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Elizabeth E. Eastmond,https://collections.ed.ac.uk/art/record/20705?highlight=*:*
Male Portrait (1969),Helen Wishart,https://collections.ed.ac.uk/art/record/22690?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Frances Walker,https://collections.ed.ac.uk/art/record/99452?highlight=*:*
Head of a Woman Wearing Beads (1952),Ann F Ward,https://collections.ed.ac.uk/art/record/20846?highlight=*:*
Sweden - boats tied up at quayside (1963),John Brown,https://collections.ed.ac.uk/art/record/99348?highlight=*:*
Seated Male Nude (1953),Ian Short,https://collections.ed.ac.uk/art/record/20941?highlight=*:*
Untitled,A. Parkinson,https://collections.ed.ac.uk/art/record/112501?highlight=*:*
Portrait of a Man in Profile (1951),Helmut F G Petzsch,https://collections.ed.ac.uk/art/record/21392?highlight=*:*
Rooftops,A McIntosh,https://collections.ed.ac.uk/art/record/21465?highlight=*:*
Untitled,Marjorie-Ann Ancell,https://collections.ed.ac.uk/art/record/21612?highlight=*:*
